HETATM,Atom_num,Atom_name,Residual_name,Bound,Residual_num,x,y,z,Atom_type,Residual_accurate_name,Lineage,shift,trust,Ac_component,Trust,bound_AB,fischer_projection_DL,origin_mono,reformulated_standard_mono,carbon_number_PF
HETATM,33,O3,NBG,A,2,-6.696,-3.298,1.908,O,b-D-GlcpN,4.0,-1.0,-1,0,,b,d,glcpn,glcn,P
HETATM,34,H2N,NBG,A,2,-6.013,-1.229,-0.284,H,b-D-GlcpN,4.0,-1.0,-1,0,,b,d,glcpn,glcn,P
HETATM,35,H2,NBG,A,2,-4.252,-3.284,0.933,H,b-D-GlcpN,4.0,3.69,74,0,,b,d,glcpn,glcn,P
HETATM,36,H1,NBG,A,2,-3.927,-0.267,1.381,H,b-D-GlcpN,4.0,4.53,74,0,,b,d,glcpn,glcn,P
HETATM,37,H5,NBG,A,2,-4.404,-0.408,3.663,H,b-D-GlcpN,4.0,3.59,74,0,,b,d,glcpn,glcn,P
HETATM,38,H6,NBG,A,2,-2.471,-0.829,5.153,H,b-D-GlcpN,4.0,3.76,74,0,,b,d,glcpn,glcn,P
HETATM,39,H61,NBG,A,2,-3.975,-1.408,5.899,H,b-D-GlcpN,4.0,3.92,-1,0,,b,d,glcpn,glcn,P
HETATM,40,H6O,NBG,A,2,-2.082,-2.945,4.45,H,b-D-GlcpN,4.0,-1.0,-1,0,,b,d,glcpn,glcn,P
HETATM,41,H4,NBG,A,2,-4.69,-3.49,3.572,H,b-D-GlcpN,4.0,3.56,74,0,,b,d,glcpn,glcn,P
HETATM,42,H4O,NBG,A,2,-5.79,-2.792,5.308,H,b-D-GlcpN,4.0,-1.0,-1,0,,b,d,glcpn,glcn,P
HETATM,43,H3,NBG,A,2,-6.28,-1.32,2.114,H,b-D-GlcpN,4.0,3.54,74,0,,b,d,glcpn,glcn,P
HETATM,44,H3O,NBG,A,2,-7.274,-3.281,2.699,H,b-D-GlcpN,4.0,-1.0,-1,0,,b,d,glcpn,glcn,P
HETATM,45,C21,NBG,A,2,-3.717,-3.167,-1.778,C,b-D-GlcpN,4.0,23.4,-1,1,,b,d,glcpn,glcn,P
HETATM,46,C11,NBG,A,2,-4.812,-2.16,-1.541,C,b-D-GlcpN,4.0,175.6,-1,1,88.0,b,d,glcpn,glcn,P
HETATM,47,O1,NBG,A,2,-5.311,-1.525,-2.474,O,b-D-GlcpN,4.0,-1.0,-1,1,,b,d,glcpn,glcn,P
HETATM,48,H21,NBG,A,2,-3.482,-3.774,-0.905,H,b-D-GlcpN,4.0,-1.0,-1,1,98.0,b,d,glcpn,glcn,P
HETATM,49,H22,NBG,A,2,-4.039,-3.848,-2.576,H,b-D-GlcpN,4.0,-1.0,-1,1,,b,d,glcpn,glcn,P
HETATM,50,H23,NBG,A,2,-2.816,-2.639,-2.101,H,b-D-GlcpN,4.0,-1.0,-1,1,,b,d,glcpn,glcn,P
